-7.8539820000E-01	-7.8539820000E-01	5.5446330000E-13
-7.8539820000E-01	-7.6969020000E-01	5.6807610000E-13
-7.8539820000E-01	-7.5398220000E-01	5.8226620000E-13
-7.8539820000E-01	-7.3827430000E-01	5.9754650000E-13
-7.8539820000E-01	-7.2256630000E-01	6.1367170000E-13
-7.8539820000E-01	-7.0685830000E-01	6.3082380000E-13
-7.8539820000E-01	-6.9115040000E-01	6.4885610000E-13
-7.8539820000E-01	-6.7544240000E-01	6.6818850000E-13
-7.8539820000E-01	-6.5973440000E-01	6.8863310000E-13
-7.8539820000E-01	-6.4402650000E-01	7.1049260000E-13
-7.8539820000E-01	-6.2831850000E-01	7.3379560000E-13
-7.8539820000E-01	-6.1261060000E-01	7.5868120000E-13
-7.8539820000E-01	-5.9690260000E-01	7.8509440000E-13
-7.8539820000E-01	-5.8119460000E-01	8.1355160000E-13
-7.8539820000E-01	-5.6548670000E-01	8.4428330000E-13
-7.8539820000E-01	-5.4977870000E-01	8.7727180000E-13
-7.8539820000E-01	-5.3407070000E-01	9.1241180000E-13
-7.8539820000E-01	-5.1836280000E-01	9.5058060000E-13
-7.8539820000E-01	-5.0265480000E-01	9.9217750000E-13
-7.8539820000E-01	-4.8694690000E-01	1.0367270000E-12
-7.8539820000E-01	-4.7123890000E-01	1.0853100000E-12
-7.8539820000E-01	-4.5553090000E-01	1.1382920000E-12
-7.8539820000E-01	-4.3982300000E-01	1.1963010000E-12
-7.8539820000E-01	-4.2411500000E-01	1.2597830000E-12
-7.8539820000E-01	-4.0840700000E-01	1.3296950000E-12
-7.8539820000E-01	-3.9269910000E-01	1.4061750000E-12
-7.8539820000E-01	-3.7699110000E-01	1.4919500000E-12
-7.8539820000E-01	-3.6128310000E-01	1.5867650000E-12
-7.8539820000E-01	-3.4557520000E-01	1.6926530000E-12
-7.8539820000E-01	-3.2986720000E-01	1.8116860000E-12
-7.8539820000E-01	-3.1415930000E-01	1.9461120000E-12
-7.8539820000E-01	-2.9845130000E-01	2.0984030000E-12
-7.8539820000E-01	-2.8274330000E-01	2.2733730000E-12
-7.8539820000E-01	-2.6703540000E-01	2.4741260000E-12
